k,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
8,17,Improved-gOMP,optimized,0.0004371270006231498,1.176499790744856e-05,0.00023871900339145213,0.00010312299855286255,1.7780999769456685e-05,1.3680037227459252e-06
8,18,Improved-gOMP,baseline,0.0006173430010676384,7.0640016929246485e-06,0.00034099400363629684,3.282099714851938e-05,9.778999810805544e-06,0.00012798500029020943
8,18,Improved-gOMP,optimized,0.0004938450001645833,1.1366002581780776e-05,0.00028021000616718084,0.00011167100092279725,1.9016999431187287e-05,1.463002263335511e-06
8,19,Improved-gOMP,baseline,0.001208756999403704,1.2959000741830096e-05,0.0007310319997486658,5.54530015506316e-05,1.6576002963120118e-05,0.00024310000299010426
8,19,Improved-gOMP,optimized,0.0005467549999593757,1.2127999070798978e-05,0.0002372700000705663,9.751600009622052e-05,1.7331996787106618e-05,9.353700443170965e-05
8,20,Improved-gOMP,baseline,0.001369548997899983,1.5500998415518552e-05,0.0007887170031608548,6.881599983898923e-05,2.3726002837065607e-05,0.0003217509984096978
8,20,Improved-gOMP,optimized,0.0005292220012051985,1.2108004739275202e-05,0.00028622399986488745,0.00011900599929504097,2.206000135629438e-05,1.4399993233382702e-06
8,21,Improved-gOMP,baseline,0.0006010029974277131,1.0861000191653147e-05,0.00034626799970283173,3.175200254190713e-05,1.0854997526621446e-05,0.00010069000200019218
8,21,Improved-gOMP,optimized,0.000512272999912966,1.2611002603080124e-05,0.00026724299823399633,0.0001301339980273042,2.5525001547066495e-05,1.4990000636316836e-06
8,22,Improved-gOMP,baseline,0.001125702001445461,1.1639000149443746e-05,0.0006492639986390714,4.936200275551528e-05,1.4950997865526006e-05,0.0002691189984034281
8,22,Improved-gOMP,optimized,0.0004615439975168556,1.0971998563036323e-05,0.00024424700313829817,0.00011816500045824796,1.8285998521605507e-05,1.467997208237648e-06
8,23,Improved-gOMP,baseline,0.000928683002712205,1.2381999113131315e-05,0.0006164570040709805,5.480100298882462e-05,1.786099892342463e-05,9.952300024451688e-05
8,23,Improved-gOMP,optimized,0.0003154740006721113,7.99999907030724e-06,0.0001622890013095457,8.000299931154586e-05,1.284400059375912e-05,1.0019975889008492e-06
8,24,Improved-gOMP,baseline,0.0010669429975678213,1.101499583455734e-05,0.000642901002720464,4.8866997531149536e-05,1.4306999219115824e-05,0.00022888999956194311
8,24,Improved-gOMP,optimized,0.0010854700012714602,1.4007993740960956e-05,0.0007116800006770063,0.00020669500372605398,3.0553997930837795e-05,2.359003701712936e-06
8,25,Improved-gOMP,baseline,0.0014309020007203799,1.3454991858452559e-05,0.0008827830024529248,6.742799814674072e-05,2.2951997380005196e-05,0.00028839800506830215
8,25,Improved-gOMP,optimized,0.0005212549986026715,1.40169941005297e-05,0.0002605520021461416,0.0001331349958491046,3.31109986291267e-05,1.6510020941495895e-06
8,26,Improved-gOMP,baseline,0.0010685580018616747,1.0947002010652795e-05,0.0006383170039043762,5.12650040036533e-05,1.4772998838452622e-05,0.0002273739992233459
8,26,Improved-gOMP,optimized,0.0004597550032485742,1.0547999409027398e-05,0.00025743900187080726,0.00010668799950508401,1.6901005437830463e-05,1.491003786213696e-06
8,27,Improved-gOMP,baseline,0.0015731929997855332,1.598800008650869e-05,0.001046737001161091,6.044100155122578e-05,1.8742000975180417e-05,0.0002652220027812291
8,27,Improved-gOMP,optimized,0.0005347459991753567,1.577500006533228e-05,0.0002930690025095828,0.00012357000014162622,2.0666004274971783e-05,1.5989971871022135e-06
8,28,Improved-gOMP,baseline,0.0015909249996184371,1.1271997209405527e-05,0.0010697770012484398,5.72969984204974e-05,1.613399581401609e-05,0.0002810810037772171
8,28,Improved-gOMP,optimized,0.0004758340000989847,1.138800143962726e-05,0.00026499399973545223,0.00010993600153597072,1.734100078465417e-05,1.5379991964437068e-06
8,29,Improved-gOMP,baseline,0.0005785350003861822,8.144001185428351e-06,0.00034272900302312337,3.1544997909804806e-05,1.0157997166970745e-05,9.74809991021175e-05
8,29,Improved-gOMP,optimized,0.00046799200208624825,1.1799002095358446e-05,0.00026211500517092645,0.00010806499994941987,1.8169001123169437e-05,1.4840006770100445e-06
12,0,Improved-gOMP,baseline,0.0012547580008686054,1.720600266708061e-05,0.0008467930019833148,7.973800165927969e-05,2.1399002434918657e-05,0.00011571999493753538
12,0,Improved-gOMP,optimized,0.0007367139987763949,1.6943995433393866e-05,0.00034008099828497507,0.0001527640015410725,2.6077999791596085e-05,0.00010468699838384055
12,1,Improved-gOMP,baseline,0.001271938999707345,1.5352998161688447e-05,0.0008719910038053058,8.093800352071412e-05,2.0070001482963562e-05,0.00011175200415891595
12,1,Improved-gOMP,optimized,0.0008198779978556558,1.5766006981721148e-05,0.00041958200017688796,0.00014932100020814687,2.406100247753784e-05,0.00010689699774957262
12,2,Improved-gOMP,baseline,0.0020177759979560506,2.405700070085004e-05,0.0013030560003244318,0.00011549900227691978,2.9975002689752728e-05,0.0003067539983021561
12,2,Improved-gOMP,optimized,0.0007178259984357283,1.677000182098709e-05,0.0003288930020062253,0.00015420199997606687,2.422699981252663e-05,0.00010133800242329016
12,3,Improved-gOMP,baseline,0.0014048049997654743,1.5615001757396385e-05,0.0009321369943791069,0.00010964900138787925,2.3539992980659008e-05,0.00013827199654770084
12,3,Improved-gOMP,optimized,0.0010444050021760631,1.866400270955637e-05,0.0004519479953160044,0.00016590599625487812,2.9124006687197834e-05,0.00025975899552577175
12,4,Improved-gOMP,baseline,0.0013115289984853007,1.7161004507215694e-05,0.0009137469969573431,7.579899465781637e-05,2.1971005480736494e-05,0.00011214900223421864
12,4,Improved-gOMP,optimized,0.0007801930005371105,1.5713998436694965e-05,0.00031997100813896395,0.00012992900519748218,8.895900100469589e-05,0.00012495000555645674
12,5,Improved-gOMP,baseline,0.001502241000707727,1.948899807757698e-05,0.001005672998871887,0.00011924699356313795,2.8522994398372248e-05,0.0001189560025522951
12,5,Improved-gOMP,optimized,0.0007231880008475855,1.4523000572808087e-05,0.0003516270007821731,0.00014141300198389217,2.229100209660828e-05,9.596700328984298e-05
12,6,Improved-gOMP,baseline,0.0014298580026661512,2.7600992325460538e-05,0.0009778769963304512,9.167599637294188e-05,2.3034997866488993e-05,0.00011739600449800491
12,6,Improved-gOMP,optimized,0.0006878050007799175,1.661600254010409e-05,0.0003232689959986601,0.00013570899682235904,2.282700006617233e-05,9.614000373403542e-05
12,7,Improved-gOMP,baseline,0.0012843030017393176,1.539099685032852e-05,0.0008813760032353457,7.898500189185143e-05,2.069200127152726e-05,0.0001168609996966552
12,7,Improved-gOMP,optimized,0.0007886559978942387,1.3803997717332095e-05,0.00033635499858064577,0.00019866699949488975,2.4957997084129602e-05,0.00011696000001393259
12,8,Improved-gOMP,baseline,0.001188696001918288,1.7276001017307863e-05,0.0007963060015754309,7.678499605390243e-05,2.113599839503877e-05,0.00010736099648056552
12,8,Improved-gOMP,optimized,0.0007472580000467133,1.689100099611096e-05,0.0003647419944172725,0.00014146299508865923,2.4200999177992344e-05,0.00010411800030851737
12,9,Improved-gOMP,baseline,0.001977599000383634,2.3169002815848216e-05,0.001296645001275465,0.00010789000225486234,2.7493006200529635e-05,0.0002892820011766162
12,9,Improved-gOMP,optimized,0.001319940998655511,1.8675997125683352e-05,0.0004684470040956512,0.00025424800332984887,3.4871005482273176e-05,0.00041831099952105433
12,10,Improved-gOMP,baseline,0.0012174990006315056,1.8090999219566584e-05,0.0008153599956131075,7.27380029275082e-05,2.098299955832772e-05,0.00011599800563999452
