coeff_mode,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
gaussian,61,Improved-gOMP,optimized,0.0016610210004728287,3.949999518226832e-05,0.0008526160090696067,0.0003424890019232407,5.907900049351156e-05,0.00013415698776952922
gaussian,62,Improved-gOMP,baseline,0.0034446610079612583,3.45690204994753e-05,0.002237498003523797,0.00026473500474821776,5.50700060557574e-05,0.0003718500229297206
gaussian,62,Improved-gOMP,optimized,0.0027223049983149394,5.364599928725511e-05,0.001425928989192471,0.0005471719923662022,9.777898958418518e-05,0.00025875000574160367
gaussian,63,Improved-gOMP,baseline,0.005015247996198013,6.7966990172863e-05,0.0036063590232515708,0.0003221340157324448,8.002501272130758e-05,0.00027929099451284856
gaussian,63,Improved-gOMP,optimized,0.0014494810020551085,4.3400999857112765e-05,0.0007247040048241615,0.0002845459966920316,4.226001328788698e-05,0.0001525819970993325
gaussian,64,Improved-gOMP,baseline,0.0036947439948562533,4.186799924355e-05,0.002429087006021291,0.00021840901172254235,5.622900789603591e-05,0.0004984690167475492
gaussian,64,Improved-gOMP,optimized,0.0015018859994597733,3.1903982744552195e-05,0.0007476079917978495,0.0003392340149730444,5.327399412635714e-05,0.00014193700917530805
gaussian,65,Improved-gOMP,baseline,0.003297893999842927,4.108400025870651e-05,0.0023385420063277707,0.00019806899945251644,5.0242990255355835e-05,0.0001697819825494662
gaussian,65,Improved-gOMP,optimized,0.0014837890048511326,2.5881017791107297e-05,0.000723131000995636,0.0003462330059846863,4.721798177342862e-05,0.00015942100435495377
gaussian,66,Improved-gOMP,baseline,0.00282970599073451,3.485199704300612e-05,0.0019842800102196634,0.00019246798183303326,4.301400622352958e-05,0.00020684400806203485
gaussian,66,Improved-gOMP,optimized,0.0011675730056595057,2.7731992304325104e-05,0.0006568520038854331,0.00026749196695163846,5.359598435461521e-05,3.1140079954639077e-06
