k,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
4,86,gOMP,optimized,8.26640025479719e-05,7.978000212460756e-06,1.843301288317889e-05,2.5087007088586688e-05,7.732000085525215e-06,0.0
4,87,gOMP,baseline,0.00018636399181559682,1.0839983588084579e-05,3.6218014429323375e-05,5.807800334878266e-05,2.028199378401041e-05,0.0
4,87,gOMP,optimized,0.0002991310029756278,5.739298649132252e-05,5.515399971045554e-05,8.044000423979014e-05,2.7022004360333085e-05,0.0
4,88,gOMP,baseline,0.00011488900054246187,7.056005415506661e-06,2.4459994165226817e-05,3.59479890903458e-05,1.1961019481532276e-05,0.0
4,88,gOMP,optimized,7.802399341017008e-05,6.747999577783048e-06,1.701099972706288e-05,2.499199763406068e-05,7.627997547388077e-06,0.0
4,89,gOMP,baseline,0.00011884000559803098,7.748007192276418e-06,2.342299558222294e-05,3.759800165425986e-05,1.2414995580911636e-05,0.0
4,89,gOMP,optimized,9.181699715554714e-05,7.618989911861718e-06,1.9364000763744116e-05,2.9252987587824464e-05,8.589981007389724e-06,0.0
4,90,gOMP,baseline,0.00010533700697124004,7.189999450929463e-06,2.126098843291402e-05,3.2077994546853006e-05,1.0661009582690895e-05,0.0
4,90,gOMP,optimized,7.827099761925638e-05,6.305999704636633e-06,1.645401061978191e-05,2.315700112376362e-05,7.328999345190823e-06,0.0
4,91,gOMP,baseline,0.00010031700367107987,6.590998964384198e-06,2.0087012671865523e-05,3.095901047345251e-05,9.675000910647213e-06,0.0
4,91,gOMP,optimized,7.309799548238516e-05,6.230009603314102e-06,1.589898602105677e-05,2.2439009626396e-05,7.4490089900791645e-06,0.0
4,92,gOMP,baseline,0.00010346599447075278,6.869013304822147e-06,1.9857005099765956e-05,3.0269991839304566e-05,9.25500353332609e-06,0.0
4,92,gOMP,optimized,7.935099711176008e-05,6.5689964685589075e-06,1.6982012311927974e-05,2.4150009267032146e-05,7.467999239452183e-06,0.0
4,93,gOMP,baseline,0.0002753440057858825,7.844995707273483e-06,2.5457004085183144e-05,0.0001064020034391433,2.7637986931949854e-05,0.0
4,93,gOMP,optimized,0.00014872899919282645,1.3403987395577133e-05,3.737899533007294e-05,4.887199611403048e-05,1.097700442187488e-05,0.0
