trial,coeff_mode,algorithm,m,n,measurement_ratio,matrix_kind,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver
0,rademacher,Improved-gOMP,96,256,0.375,gaussian,20.0,0.04047876201837465,0.08750240386148098,0.2958080523945908,0.9375,0.9375,0,0.0013649000029545277,5,16.0,0.9422488208565293,target_sparsity_reached,1,1,0.00012569999671541154,19.8,True,cholesky_solve,1,0,2.174104883658316,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1,rademacher,OMP,96,256,0.375,gaussian,20.0,0.03824318425013834,0.07930496840375238,0.28161137832792266,0.9375,0.9375,0,0.0009651000145822763,16,16.0,0.9443288308473903,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,2.09435507721859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,rademacher,gOMP,96,256,0.375,gaussian,20.0,0.03824318425013834,0.2516574782316223,0.5016547400669332,0.8125,0.8125,0,0.00044100001105107367,6,16.0,1.2406197396710519,target_sparsity_reached,3,3,0.0,3.0,False,,0,0,2.0500631874203545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,rademacher,Improved-gOMP,96,256,0.375,gaussian,20.0,0.03824318425013834,0.25165747823134565,0.5016547400666574,0.8125,0.8125,0,0.002355200005695224,5,16.0,1.2406197396710519,target_sparsity_reached,3,3,0.0002638999721966684,20.2,True,cholesky_solve,1,0,2.0500631874203545,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2,rademacher,OMP,96,256,0.375,gaussian,20.0,0.04510155239649796,0.19614188864375787,0.44287909032122735,0.875,0.875,0,0.0010971000010613352,16,16.0,1.0239843314646253,target_sparsity_reached,2,2,0.0,1.0,False,,0,0,1.9923371161524883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,rademacher,gOMP,96,256,0.375,gaussian,20.0,0.04510155239649796,0.0028147745086834165,0.05305444852869,1.0,1.0,1,0.0004634000069927424,6,16.0,0.420645120083016,target_sparsity_reached,0,0,0.0,3.0,False,,0,0,2.1146298537468966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,rademacher,Improved-gOMP,96,256,0.375,gaussian,20.0,0.04510155239649796,0.0028147745065233015,0.05305444850833247,1.0,1.0,1,0.001764200016623363,5,16.0,0.420645120083016,target_sparsity_reached,0,0,0.00014920003013685346,20.2,True,cholesky_solve,1,0,2.1146298537468966,1.0,1.0,0.0,0.0,1.0,0.0,1.0
3,rademacher,OMP,96,256,0.375,gaussian,20.0,0.04059996199631211,0.002224205451645404,0.047161482712542065,1.0,1.0,1,0.0014890000165905803,16,16.0,0.34540838860829803,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,2.407993509692513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,rademacher,gOMP,96,256,0.375,gaussian,20.0,0.04059996199631211,0.10143282649828689,0.31848520609015246,0.9375,0.9375,0,0.0004470999992918223,6,16.0,0.8165672428369628,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,2.053863301745389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,rademacher,Improved-gOMP,96,256,0.375,gaussian,20.0,0.04059996199631211,0.10143282649291582,0.31848520608172026,0.9375,0.9375,0,0.0017556000093463808,5,16.0,0.8165672428369628,target_sparsity_reached,1,1,0.00014530002954415977,20.0,True,cholesky_solve,1,0,2.053863301745389,1.0,1.0,0.0,0.0,1.0,0.0,1.0
4,rademacher,OMP,96,256,0.375,gaussian,20.0,0.04393248358528361,0.002100274621857832,0.04582875322172568,1.0,1.0,1,0.0010260000126436353,16,16.0,0.394294743328173,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.8787162646469475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,rademacher,gOMP,96,256,0.375,gaussian,20.0,0.04393248358528361,0.23686215415625825,0.4866848612359524,0.8125,0.8125,0,0.00044100001105107367,6,16.0,1.4247897585549452,target_sparsity_reached,3,3,0.0,3.0,False,,0,0,2.0015748224277954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,rademacher,Improved-gOMP,96,256,0.375,gaussian,20.0,0.04393248358528361,0.2368621541647353,0.48668486124466137,0.8125,0.8125,0,0.0014619000139646232,5,16.0,1.4247897585549452,target_sparsity_reached,3,3,0.000132200017105788,19.8,True,cholesky_solve,1,0,2.0015748224277954,1.0,1.0,0.0,0.0,1.0,0.0,1.0
5,rademacher,OMP,96,256,0.375,gaussian,20.0,0.040832193847141526,0.0011615593077186823,0.034081656469700565,1.0,1.0,1,0.001049699989380315,16,16.0,0.34176761601343353,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.894001539637133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,rademacher,gOMP,96,256,0.375,gaussian,20.0,0.040832193847141526,0.17493745335394933,0.4182552490453041,0.875,0.875,0,0.0006810999766457826,6,16.0,1.2576241700496649,target_sparsity_reached,2,2,0.0,3.0,False,,0,0,1.961452652404535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,rademacher,Improved-gOMP,96,256,0.375,gaussian,20.0,0.040832193847141526,0.1509056500919778,0.3884657643756754,0.875,0.875,0,0.0018933000101242214,5,16.0,1.2338808496915845,target_sparsity_reached,2,2,0.0001925000105984509,19.8,True,cholesky_solve,1,0,1.9969683804809826,1.0,1.0,0.0,0.0,1.0,0.0,1.0
