trial,k,algorithm,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver
16,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.012688544712348992,0.00017828560187848233,0.013352363157077564,1.0,1.0,1,0.00018430000636726618,2,4.0,0.12610996281739945,target_sparsity_reached,0,0,0.0,3.0,False,,0,0,1.17108230803151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.012688544712348992,0.0001782856029788332,0.013352363198281914,1.0,1.0,1,0.0005164000031072646,2,4.0,0.12610996281739942,target_sparsity_reached,0,0,4.269997589290142e-05,15.5,True,,0,0,1.17108230803151,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.018128303756968948,0.00011029942028454234,0.010502353083216273,1.0,1.0,1,0.0002111000067088753,4,4.0,0.1422912186408173,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.189989772051848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.018128303756968948,0.04747948518898128,0.21789787789003656,0.75,0.75,0,0.00010490001295693219,2,4.0,0.4288448027222233,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,1.4606534130639497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.018128303756968948,0.00011029942028454661,0.010502353083216474,1.0,1.0,1,0.0005397000059019774,2,4.0,0.1422912186408173,target_sparsity_reached,0,0,5.2799994591623545e-05,15.5,True,,0,0,1.3475456338440726,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.024263893987652597,0.0007743848972767966,0.027827772050180315,1.0,1.0,1,0.00019829999655485153,4,4.0,0.2441641654914307,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.3675792738943355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.024263893987652597,0.028109748114787666,0.16765961980986258,0.75,0.75,0,9.76000155787915e-05,2,4.0,0.39653640338719737,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,1.5142352517851323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.024263893987652597,0.0007743848972767966,0.027827772050180315,1.0,1.0,1,0.0005115999956615269,2,4.0,0.2441641654914307,target_sparsity_reached,0,0,3.899997682310641e-05,16.0,True,,0,0,1.4474125418620007,0.0,0.0,0.0,0.0,1.0,0.0,1.0
19,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.01293322309141415,0.0006523114332022092,0.025540388274304077,1.0,1.0,1,0.00018169998656958342,4,4.0,0.1197134200620233,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.2033206713558666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.01293322309141415,0.0006523114332022092,0.025540388274304077,1.0,1.0,1,0.00010870001278817654,2,4.0,0.1197134200620233,target_sparsity_reached,0,0,0.0,3.0,False,,0,0,1.2033206713558666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
