snr_db,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
10.0,OMP,baseline,0.09906647159062348,0.3040691649899468,0.7035416666666666,0.7035416666666666,0.0,0.001190370866873612,16.0,16.0,1.0085593629773817,4.743333333333333,4.743333333333333,0.0004617605421420497,1.0,0.0,0.0,2.039232422543741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06803679248939e-05,0.00012968071280435348,0.0004617605421420497,0.00011991623420423517,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
10.0,OMP,optimized,0.09906647156753945,0.30406916495429287,0.7035416666666666,0.7035416666666666,0.0,0.0006349822628544644,16.0,16.0,1.0085593629773817,4.743333333333333,4.743333333333333,0.00024838044574911083,1.0,0.0,0.0,2.039232422543741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.512644104077481e-05,2.5939379702322186e-05,0.00024838044574911083,8.523874605695406e-05,0.00012577190612015935,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
10.0,RMP,baseline,0.11135792928680656,0.3270550464919881,0.686875,0.686875,0.0,0.0011113818801823073,16.0,16.0,1.230191712714505,5.01,5.01,0.0004351045933435671,1.0,0.0,0.0,2.086072260725046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.775543996909012e-05,4.07741274102591e-05,0.0004283472654545524,0.00017329903916106558,0.0,4304.0,768.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
10.0,RMP,optimized,0.11135792931746212,0.32705504654143064,0.686875,0.686875,0.0,0.00059601032694142,16.0,16.0,1.2301917128753517,5.01,5.01,0.00013600434802356177,1.0,0.0,0.0,2.086072260725046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.312056125452121e-05,3.297114012336048e-05,0.00013600434802356177,0.00015425860493754347,0.0001267682877369225,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
10.0,gOMP,baseline,0.09081713951052048,0.2919422180059972,0.6995833333333333,0.6995833333333333,0.0,0.0005598915700587289,6.0,16.0,1.0526140804256898,4.806666666666667,4.806666666666667,0.0002124559768223359,3.0,0.0,0.0,2.10827818334517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0488349875668063e-05,8.423782205985239e-05,0.0002124559768223359,4.870318327448331e-05,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0
10.0,gOMP,optimized,0.09081713949671569,0.29194221798388414,0.6995833333333333,0.6995833333333333,0.0,0.00027304149999205646,6.0,16.0,1.0526140804256898,4.806666666666667,4.806666666666667,9.752062338520773e-05,3.0,0.0,0.0,2.10827818334517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6177233036529893e-05,5.693785424227826e-05,9.752062338520773e-05,3.23097434011288e-05,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0
15.0,Improved-gOMP,baseline,0.02441452941679996,0.15018708744534132,0.7447916666666666,0.8488586182336183,0.0,0.0022648447297979146,5.213333333333333,14.11,0.6929722989662097,2.1933333333333334,4.083333333333333,0.00017613611416891217,18.255412698412698,0.0,0.0,2.0330651259111905,0.5466666666666666,0.5466666666666666,1.0,1.0,1.0,1.0,0.0,2.8852782221899058e-05,0.0016018675906525458,0.00015660774588468484,3.743000231528034e-05,0.00013310436756000854,3405.36,768.0,2048.0,0.0,0.0,0.0,372.82666666666665,49.70666666666666,41.70666666666666,41.70666666666666,41.70666666666666,41.70666666666666,0.0
15.0,Improved-gOMP,optimized,0.021437870941956132,0.14144794945682035,0.7520833333333333,0.9145177738927739,0.0033333333333333335,0.001088671266770689,4.95,13.22,0.6898075113419145,1.1866666666666668,3.966666666666667,0.00012718153879783737,0.0,0.0,0.0,1.9470604170925117,0.30333333333333334,0.30333333333333334,0.0,0.0,1.0,0.0,1.0,2.5731776792478436e-05,0.0005807894034175358,0.0002360654965256496,4.130978418591743e-05,5.873051937669516e-05,4547.786666666667,768.0,2048.0,0.0,1425.0666666666666,105.76,105.76,47.6,39.6,0.0,0.0,8.0,0.0
15.0,OMP,baseline,0.02276260413379793,0.14621100270830148,0.813125,0.813125,0.04,0.0011408137268639014,16.0,16.0,0.5737527726506146,2.99,2.99,0.00044746144209057093,1.0,0.0,0.0,2.056719053002743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.769949089076059e-05,0.00012458531535230577,0.00044746144209057093,0.00011285164558406298,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
15.0,OMP,optimized,0.022762604127824906,0.14621100268879603,0.813125,0.813125,0.04,0.0006225651463804146,16.0,16.0,0.5737527726506148,2.99,2.99,0.00024291246867505834,1.0,0.0,0.0,2.056719053002743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.305295440445964e-05,2.6142774586332962e-05,0.00024291246867505834,8.264304250284719e-05,0.00012555030809987026,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
